"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2018-01-14 09:25:00+00",154414,11,237,325,43223,2121738.29
"2018-01-14 09:24:00+00",154401,14,82,75,43195,2121273.29
"2018-01-14 09:23:00+00",154464,17,108,87,43182,2120942.29
"2018-01-14 09:22:00+00",153703,9,80,71,43166,2120533.13
"2018-01-14 09:21:00+00",153703,13,57,84,43147,2119944.48
"2018-01-14 09:20:00+00",153905,15,79,78,43122,2118606.35
"2018-01-14 09:19:00+00",153550,21,74,106,43099,2117991.35
"2018-01-14 09:18:00+00",152850,26,81,87,43075,2117251.35
"2018-01-14 09:17:00+00",152830,16,81,71,43038,2116116.35
"2018-01-14 09:16:00+00",152830,25,59,70,43008,2115676.35
"2018-01-14 09:15:00+00",153126,14,72,80,42980,2114866.35
"2018-01-14 09:14:00+00",152995,15,82,68,42941,2113752.04
"2018-01-14 09:13:00+00",152995,11,218,356,42893,2112651.49
"2018-01-14 09:12:00+00",153201,10,67,62,42826,2111586.49
"2018-01-14 09:11:00+00",153792,20,125,132,42826,2111586.49
"2018-01-14 09:10:00+00",153486,17,155,120,42674,2109175.38
"2018-01-14 09:09:00+00",152748,8,74,73,42419,2106442.52
"2018-01-14 09:08:00+00",152748,16,83,158,42352,2104976.26
"2018-01-14 09:07:00+00",152286,29,98,108,42313,2104201.77
"2018-01-14 09:06:00+00",151884,17,89,119,42275,2102932.63
"2018-01-14 09:05:00+00",151884,32,62,69,42234,2101823.63
"2018-01-14 09:04:00+00",151254,26,107,65,42207,2100933.63
"2018-01-14 09:03:00+00",151024,23,264,452,42200,2100244.97
"2018-01-14 09:02:00+00",151651,20,64,34,42193,2100009.97
"2018-01-14 09:01:00+00",151651,18,73,44,42182,2099701.97
"2018-01-14 09:00:00+00",151867,22,119,106,42166,2099466.97
"2018-01-14 08:59:00+00",151867,18,63,33,42151,2099291.97
"2018-01-14 08:58:00+00",152254,21,72,57,42127,2098786.97
"2018-01-14 08:57:00+00",152254,20,52,60,42113,2098646.97
"2018-01-14 08:56:00+00",153234,19,142,176,42069,2097392.97
"2018-01-14 08:55:00+00",152609,24,160,128,41996,2096162.97
"2018-01-14 08:54:00+00",153000,30,110,92,41922,2095207.97
"2018-01-14 08:53:00+00",153000,16,91,108,41905,2094802.97
"2018-01-14 08:52:00+00",153000,17,107,77,41886,2094257.72
"2018-01-14 08:51:00+00",153109,13,67,53,41872,2093812.72
"2018-01-14 08:50:00+00",153328,12,167,159,41866,2093697.72
"2018-01-14 08:49:00+00",153659,12,95,94,41860,2093456.72
"2018-01-14 08:48:00+00",153695,12,58,47,41853,2093191.72
"2018-01-14 08:47:00+00",154425,14,70,109,41843,2092431.72
"2018-01-14 08:46:00+00",154270,11,79,81,41839,2092331.72
