"name","category","start_time","duration","runners","host","id"
"TASBot plays Super Metroid 0% by Sniq and total","0% while running past audible invisible animals — SNES","2018-06-30 04:20:00","00:07:41","dwangoAC","Raelcun",130
"TASBot plays F-Zero GX by talented authors","TASBot% — Gamecube","2018-06-30 04:36:00","00:06:11","dwangoAC","Raelcun",129
"Pokemon Yellow/Red","Any% Glitchless 2 Games 1 Controller — Game Boy","2018-06-30 05:09:00","02:58:36","MeGotsThis","Yen24",131
"Star Wars Jedi Knight: Dark Forces II","any% — PC","2018-06-30 08:31:00","00:29:09","ysalamiri","Calyrica",132
"Star Wars Jedi Knight: Mysteries of the Sith","any% — PC","2018-06-30 09:03:00","00:20:37","ysalamiri","Calyrica",133
"Super Star Wars: The Empire Strikes Back","any% — SNES","2018-06-30 09:33:00","00:42:47","Indy","Calyrica",134
"Hob","Any% No Clip (One-Handed) — PC","2018-06-30 10:31:00","00:49:57","halfcoordinated","theboyks",135
"I Am Bread","Bagel Race — PC","2018-06-30 11:40:00","00:05:53","Nerd_Squared","theboyks",136
"Ratchet: Deadlocked","NG+ No EGS — PS3","2018-06-30 11:58:00","00:46:07","Davie","Nikasaur",137
"Spyro 2: Ripto's Rage","14 Talisman — PSX","2018-06-30 12:52:00","00:28:48","AlexDest","Nikasaur",138
"Crash Bandicoot: N. Sane Trilogy","Crash Bandicoot 1 Any% — PS4","2018-06-30 13:37:00","00:48:34","CameronVengenz","Nikasaur",139
"Kirby's Dream Land","Beat Extra Mode — Game Boy","2018-06-30 14:42:00","00:12:51","eBloodyCandy","Protomagicalgirl",140
"New Super Mario Bros. 2","Warpless — 3DS","2018-06-30 16:08:54","00:53:03","eddaket","Protomagicalgirl",142
"Super Mario Maker","3v3 Blind Level Race — Wii U","2018-06-30 19:40:50","01:20:00","Carl Sagan, grandpoobear, GlitchCat7, failstream, jaku, Cliffy","SakuraTsubasa",144
