"name","category","start_time","duration","runners","host","id"
"Sonic Colours","Egg Shuttle — Wii","2020-01-06 19:13:00","00:50:31","CriticalCyd","Lizstar",24
"Sonic CD (2011)","Tails: Beat the Game — PC","2020-01-06 20:34:00","00:20:18","Sonikkustar, flying fox, Finalflame","Lizstar",25
"Sonic 3 & Knuckles","Sonic - Beat the game — Genesis","2020-01-06 21:20:00","00:50:31","Zaxon96, Joeybaby69","Lizstar",26
"Fallout Anthology","Anthology (Main Series, Any%) — PC","2020-01-06 23:43:00","02:16:21","tomatoangus","Edobean",28
"The Outer Worlds","Any% — PC","2020-01-07 02:16:00","00:14:21","Sharo","YellowKillerBee",29
"Doom: SIGIL","UV-Speed — PC","2020-01-07 02:40:00","00:14:12","KingDime","iggyzig",30
"AMID EVIL","any% Out of Bounds — PC","2020-01-07 03:23:00","00:26:37","Psych0sis","iggyzig",31
"DOOM (2016)","100% Nightmare — PC","2020-01-07 04:11:00","02:40:51","ByteMe","CovertMuffin",32
"Bayonetta 2","Any% 2nd Climax — Switch","2020-01-07 07:28:00","01:43:48","Kap","SmoothOperative",33
"Grand Theft Auto: San Andreas","Any% (No AJS) — PC","2020-01-07 09:39:00","04:02:04","Reset","AnEternalEnigma",34
"Tron: Evolution","Any% New File — PC","2020-01-07 14:14:00","01:16:30","berlindude1","Doctor No",35
"Eagle Island","Official Seed Any% Core Rules — PC","2020-01-07 15:41:00","00:47:43","MrDino023","SakuraTsubasa",36
"The Mummy Demastered","any% oob — PC","2020-01-07 16:49:00","00:32:08","codepiece","SakuraTsubasa",37
"Hotline Miami","All Masks — PC","2020-01-07 17:34:00","00:24:42","Snowfats","YoBGS",38
