"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2019-06-30 08:34:00+00",,21,0,0,50889,3005103.87
"2019-06-30 08:33:00+00",,15,0,0,50889,3005103.87
"2019-06-30 08:32:00+00",,14,0,0,50889,3005103.87
"2019-06-30 08:31:00+00",,11,0,0,50889,3005103.87
"2019-06-30 08:30:00+00",,14,0,0,50889,3005103.87
"2019-06-30 08:29:00+00",,13,0,0,50889,3005103.87
"2019-06-30 08:28:00+00",,12,0,0,50889,3005103.87
"2019-06-30 08:27:00+00",,11,2,0,50889,3005103.87
"2019-06-30 08:26:00+00",,19,0,0,50889,3005103.87
"2019-06-30 08:25:00+00",,12,0,0,50889,3005103.87
"2019-06-30 08:24:00+00",,19,0,0,50889,3005103.87
"2019-06-30 08:23:00+00",,12,1,0,50889,3005103.87
"2019-06-30 08:22:00+00",,18,0,0,50889,3005103.87
"2019-06-30 08:21:00+00",,16,0,0,50889,3005103.87
"2019-06-30 08:20:00+00",,19,2,0,50889,3005103.87
"2019-06-30 08:19:00+00",,15,0,0,50889,3005103.87
"2019-06-30 08:18:00+00",,16,0,0,50889,3005103.87
"2019-06-30 08:17:00+00",,11,0,0,50889,3005103.87
"2019-06-30 08:16:00+00",,8,0,0,50889,3005103.87
"2019-06-30 08:15:00+00",,11,1,0,50889,3005103.87
"2019-06-30 08:14:00+00",,18,0,0,50889,3005103.87
"2019-06-30 08:13:00+00",,15,0,0,50889,3005103.87
"2019-06-30 08:12:00+00",,19,0,0,50889,3005103.87
"2019-06-30 08:11:00+00",,20,0,0,50889,3005103.87
"2019-06-30 08:10:00+00",,16,0,0,50889,3005103.87
"2019-06-30 08:09:00+00",,13,0,0,50889,3005103.87
"2019-06-30 08:08:00+00",,14,0,0,50889,3005103.87
"2019-06-30 08:07:00+00",,19,0,0,50889,3005103.87
"2019-06-30 08:06:00+00",,16,0,0,50889,3005103.87
"2019-06-30 08:05:00+00",,13,0,0,50889,3005103.87
"2019-06-30 08:04:00+00",,10,0,0,50889,3005103.87
"2019-06-30 08:03:00+00",,22,2,1,50889,3005103.87
"2019-06-30 08:02:00+00",,16,1,0,50889,3005103.87
"2019-06-30 08:01:00+00",,7,1,0,50889,3005103.87
"2019-06-30 08:00:00+00",,15,0,0,50889,3005103.87
"2019-06-30 07:59:00+00",,9,0,0,50889,3005103.87
"2019-06-30 07:58:00+00",,11,0,0,50889,3005103.87
"2019-06-30 07:57:00+00",,13,0,0,50889,3005103.87
"2019-06-30 07:56:00+00",,14,1,0,50889,3005103.87
"2019-06-30 07:55:00+00",,16,0,0,50889,3005103.87
"2019-06-30 07:54:00+00",,13,0,0,50889,3005103.87
"2019-06-30 07:53:00+00",,19,7,4,50889,3005103.87
"2019-06-30 07:52:00+00",,20,2,0,50889,3005103.87
"2019-06-30 07:51:00+00",,19,0,0,50889,3005103.87
"2019-06-30 07:50:00+00",,17,0,0,50889,3005103.87
"2019-06-30 07:49:00+00",,27,0,0,50889,3005103.87
"2019-06-30 07:48:00+00",,15,0,0,50889,3005103.87
"2019-06-30 07:47:00+00",,20,0,0,50889,3005103.87
"2019-06-30 07:46:00+00",,30,0,0,50889,3005103.87
"2019-06-30 07:45:00+00",,23,2,0,50889,3005103.87
"2019-06-30 07:44:00+00",,27,3,0,50889,3005103.87
"2019-06-30 07:43:00+00",,23,0,0,50889,3005103.87
"2019-06-30 07:42:00+00",,16,0,0,50889,3005103.87
"2019-06-30 07:41:00+00",,18,3,0,50889,3005103.87
"2019-06-30 07:40:00+00",,29,5,0,50889,3005103.87
"2019-06-30 07:39:00+00",,18,2,0,50889,3005103.87
"2019-06-30 07:38:00+00",,15,0,0,50889,3005103.87
"2019-06-30 07:37:00+00",,25,3,0,50889,3005103.87
"2019-06-30 07:36:00+00",,15,1,0,50889,3005103.87
"2019-06-30 07:35:00+00",,22,0,0,50889,3005103.87
"2019-06-30 07:34:00+00",,28,0,0,50889,3005103.87
"2019-06-30 07:33:00+00",,23,0,0,50889,3005103.87
"2019-06-30 07:32:00+00",,34,0,0,50889,3005103.87
"2019-06-30 07:31:00+00",,23,3,0,50888,3005003.87
"2019-06-30 07:30:00+00",,16,4,0,50888,3005003.87
"2019-06-30 07:29:00+00",,20,4,2,50888,3005003.87
"2019-06-30 07:28:00+00",,16,5,1,50888,3005003.87
"2019-06-30 07:27:00+00",,26,6,0,50888,3005003.87
"2019-06-30 07:26:00+00",,24,7,3,50888,3005003.87
"2019-06-30 07:25:00+00",,19,3,2,50888,3005003.87
"2019-06-30 07:24:00+00",,23,4,2,50888,3005003.87
"2019-06-30 07:23:00+00",,17,4,0,50888,3005003.87
"2019-06-30 07:22:00+00",,22,9,2,50888,3005003.87
"2019-06-30 07:21:00+00",,35,3,4,50888,3005003.87
"2019-06-30 07:20:00+00",,33,5,0,50888,3005003.87
"2019-06-30 07:19:00+00",,13,7,0,50888,3005003.87
"2019-06-30 07:18:00+00",,16,9,1,50888,3005003.87
"2019-06-30 07:17:00+00",,21,1,1,50888,3005003.87
"2019-06-30 07:16:00+00",,18,6,137,50888,3005003.87
"2019-06-30 07:15:00+00",,27,5,136,50888,3005003.87
"2019-06-30 07:14:00+00",,38,5,0,50888,3005003.87
"2019-06-30 07:13:00+00",,32,2,0,50888,3005003.87
